done,Library,API function:argument (-1 return),malloc size,file path,buffer (var len),length (var len),create,static,source,sink,init api
TRUE,c-ares,ares_parse_naptr_reply:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ns_reply:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_parse_ns_reply:0,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ns_reply:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ns_reply:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ptr_reply:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_parse_ptr_reply:0,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ptr_reply:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ptr_reply:2,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ptr_reply:3,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ptr_reply:4,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_ptr_reply:5,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_soa_reply:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_parse_soa_reply:0,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_soa_reply:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_soa_reply:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_srv_reply:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_parse_srv_reply:0,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_srv_reply:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_srv_reply:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_txt_reply_ext:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_parse_txt_reply_ext:0,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_txt_reply_ext:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_txt_reply_ext:2,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_txt_reply:-1,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,c-ares,ares_parse_txt_reply:0,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,c-ares,ares_parse_txt_reply:1,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
